,uid,scenario,physical,document,witness,character
0,AARRC49LFF1O,23,none,none,clear_ex,none
1,AARRC49LFF1O,30,clear_ex,ambiguous,clear_in,none
2,AARRC49LFF1O,11,ambiguous,clear_in,clear_in,none
3,AARRC49LFF1O,17,ambiguous,ambiguous,clear_in,clear_ex
4,AARRC49LFF1O,24,none,clear_in,ambiguous,clear_in
5,AARRC49LFF1O,3,clear_ex,clear_ex,ambiguous,none
6,AARRC49LFF1O,28,none,clear_in,clear_in,clear_ex
7,AARRC49LFF1O,1,clear_ex,none,ambiguous,clear_ex
8,AARRC49LFF1O,22,clear_ex,none,clear_ex,none
9,AARRC49LFF1O,13,clear_ex,ambiguous,clear_ex,clear_in
10,AARRC49LFF1O,18,clear_ex,none,none,none
11,AARRC49LFF1O,27,ambiguous,ambiguous,clear_in,none
12,AARRC49LFF1O,9,clear_ex,clear_in,clear_ex,none
13,AARRC49LFF1O,5,ambiguous,clear_ex,clear_in,clear_ex
14,AARRC49LFF1O,25,clear_in,clear_in,ambiguous,clear_ex
15,AARRC49LFF1O,6,none,none,clear_ex,clear_in
16,AARRC49LFF1O,2,none,ambiguous,none,clear_in
17,AARRC49LFF1O,19,clear_ex,clear_ex,ambiguous,clear_ex
18,AARRC49LFF1O,7,none,clear_ex,none,clear_in
19,AARRC49LFF1O,26,clear_in,none,none,clear_in
20,AARRC49LFF1O,31,ambiguous,clear_in,clear_ex,clear_in
21,AARRC49LFF1O,4,ambiguous,none,none,clear_in
22,AARRC49LFF1O,20,clear_in,clear_in,none,clear_in
23,AARRC49LFF1O,8,clear_in,none,ambiguous,none
24,AARRC49LFF1O,21,clear_ex,clear_ex,ambiguous,clear_in
25,AARRC49LFF1O,12,clear_ex,none,clear_in,none
26,AARRC49LFF1O,29,none,ambiguous,none,none
27,AARRC49LFF1O,10,clear_in,clear_in,ambiguous,clear_in
28,AARRC49LFF1O,14,clear_ex,clear_ex,clear_in,clear_ex
29,AARRC49LFF1O,15,none,clear_ex,ambiguous,none
30,AARRC49LFF1O,16,ambiguous,none,ambiguous,none
31,A3F0NFNLOLFJT0,11,clear_ex,clear_ex,ambiguous,clear_ex
32,A3F0NFNLOLFJT0,24,none,none,ambiguous,clear_ex
33,A3F0NFNLOLFJT0,12,none,clear_in,clear_in,none
34,A3F0NFNLOLFJT0,14,clear_in,ambiguous,ambiguous,clear_ex
35,A3F0NFNLOLFJT0,31,clear_in,clear_ex,none,clear_in
36,A3F0NFNLOLFJT0,30,clear_in,ambiguous,none,clear_ex
37,A3F0NFNLOLFJT0,16,clear_in,none,clear_ex,clear_ex
38,A3F0NFNLOLFJT0,27,clear_ex,clear_ex,clear_in,clear_in
39,A3F0NFNLOLFJT0,19,clear_ex,ambiguous,ambiguous,none
40,A3F0NFNLOLFJT0,21,none,none,ambiguous,clear_in
41,A3F0NFNLOLFJT0,6,ambiguous,ambiguous,ambiguous,clear_ex
42,A3F0NFNLOLFJT0,7,ambiguous,clear_in,clear_in,clear_ex
43,A3F0NFNLOLFJT0,22,ambiguous,clear_ex,clear_ex,clear_ex
44,A3F0NFNLOLFJT0,9,none,clear_ex,none,clear_ex
45,A3F0NFNLOLFJT0,3,clear_ex,clear_ex,none,clear_ex
46,A3F0NFNLOLFJT0,25,ambiguous,ambiguous,none,clear_ex
47,A3F0NFNLOLFJT0,17,clear_in,ambiguous,none,clear_in
48,A3F0NFNLOLFJT0,4,none,ambiguous,clear_ex,clear_ex
49,A3F0NFNLOLFJT0,26,none,clear_in,none,clear_in
50,A3F0NFNLOLFJT0,29,none,none,clear_ex,clear_ex
51,A3F0NFNLOLFJT0,5,clear_in,clear_ex,clear_in,clear_in
52,A3F0NFNLOLFJT0,10,none,clear_in,ambiguous,clear_ex
53,A3F0NFNLOLFJT0,23,clear_ex,ambiguous,clear_ex,clear_ex
54,A3F0NFNLOLFJT0,15,clear_ex,clear_in,clear_in,clear_ex
55,A3F0NFNLOLFJT0,2,clear_ex,none,none,none
56,A3F0NFNLOLFJT0,1,none,clear_ex,none,none
57,A3F0NFNLOLFJT0,8,clear_ex,clear_ex,ambiguous,none
58,A3F0NFNLOLFJT0,20,ambiguous,clear_ex,ambiguous,clear_ex
59,A3F0NFNLOLFJT0,13,clear_in,clear_ex,none,clear_ex
60,A3F0NFNLOLFJT0,18,clear_in,none,none,clear_ex
61,A3F0NFNLOLFJT0,28,clear_in,ambiguous,clear_in,none
62,A3SD02HCW68EUL,8,clear_ex,clear_ex,clear_ex,none
63,A3SD02HCW68EUL,27,clear_in,none,clear_ex,none
64,A3SD02HCW68EUL,5,clear_ex,none,none,none
65,A3SD02HCW68EUL,25,none,clear_ex,clear_ex,clear_ex
66,A3SD02HCW68EUL,1,clear_ex,clear_in,clear_ex,clear_in
67,A3SD02HCW68EUL,29,none,clear_in,clear_in,clear_ex
68,A3SD02HCW68EUL,26,clear_ex,ambiguous,clear_ex,none
69,A3SD02HCW68EUL,28,clear_in,none,clear_in,clear_in
70,A3SD02HCW68EUL,13,none,clear_ex,ambiguous,clear_ex
71,A3SD02HCW68EUL,15,clear_ex,ambiguous,none,clear_in
72,A3SD02HCW68EUL,23,clear_ex,ambiguous,none,none
73,A3SD02HCW68EUL,4,none,none,ambiguous,clear_ex
74,A3SD02HCW68EUL,18,none,none,ambiguous,none
75,A3SD02HCW68EUL,10,clear_in,none,none,clear_ex
76,A3SD02HCW68EUL,22,clear_in,ambiguous,none,clear_ex
77,A3SD02HCW68EUL,17,ambiguous,ambiguous,clear_in,clear_ex
78,A3SD02HCW68EUL,11,clear_in,none,clear_in,none
79,A3SD02HCW68EUL,24,ambiguous,ambiguous,clear_in,none
80,A3SD02HCW68EUL,9,clear_in,ambiguous,ambiguous,none
81,A3SD02HCW68EUL,16,clear_in,none,clear_ex,clear_in
82,A3SD02HCW68EUL,14,clear_in,clear_in,ambiguous,clear_ex
83,A3SD02HCW68EUL,2,clear_ex,clear_ex,clear_in,clear_in
84,A3SD02HCW68EUL,31,ambiguous,none,ambiguous,clear_in
85,A3SD02HCW68EUL,6,ambiguous,clear_ex,none,clear_in
86,A3SD02HCW68EUL,19,clear_ex,clear_in,clear_in,clear_in
87,A3SD02HCW68EUL,12,clear_ex,clear_ex,ambiguous,none
88,A3SD02HCW68EUL,20,none,clear_ex,clear_in,clear_in
89,A3SD02HCW68EUL,21,ambiguous,none,ambiguous,none
90,A3SD02HCW68EUL,30,clear_ex,ambiguous,clear_in,clear_ex
