,cond_evidence,cond_question,cond_rating,task,task_complete,uid,num_catch,num_correct,scenario,start
0,random,['bard'],0.0,exculpatory_rateless,0.0,sethtest,1.0,0.0,4.0,2021-02-18 23:32:12
1,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,blargtest,,,1.0,2021-02-18 23:37:48
2,random,['bard'],1.0,exculpatory_rateless,0.0,test2,1.0,1.0,2.0,2021-02-19 01:35:33
3,inculpatory,['bard'],1.0,exculpatory_rateless,0.0,test3,1.0,1.0,2.0,2021-02-19 05:10:31
4,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,test4,1.0,1.0,2.0,2021-02-19 05:12:10
5,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,testseth,,,,
6,credible,['bard'],0.0,exculpatory_rateless,0.0,sdgfklhansjtest,,,,
7,random,['bard'],0.0,exculpatory_rateless,0.0,kjasdnkjetest,,,,
8,random,['bard'],1.0,exculpatory_rateless,0.0,dafkjghiuq3wtest,,,1.0,2021-02-19 12:52:24
9,inculpatory,['bard'],1.0,exculpatory_rateless,0.0,A2R7PDGVB16KGY,4.0,1.0,17.0,2021-02-19 18:40:22
10,inculpatory,['bard'],1.0,exculpatory_rateless,0.0,ALXW2ZXX4SJRO,,,,
11,random,['bard'],1.0,exculpatory_rateless,1.0,A1BLNCSZ7GAL4T,6.0,6.0,31.0,2021-02-19 20:02:23
12,random,['bard'],0.0,exculpatory_rateless,0.0,A1GGHWXWUUF4WC,,,2.0,2021-02-19 20:11:51
13,credible,['bard'],0.0,exculpatory_rateless,1.0,A1WSY9375NN2V3,6.0,6.0,31.0,2021-02-19 20:41:26
14,random,['bard'],0.0,exculpatory_rateless,1.0,A2S4M32VW9AP5G,6.0,5.0,31.0,2021-02-19 20:58:56
15,random,['bard'],0.0,exculpatory_rateless,1.0,AQY8URN1JQDC2,6.0,4.0,31.0,2021-02-19 21:04:26
16,inculpatory,['bard'],1.0,exculpatory_rateless,0.0,A35DEXUQBSKQWF,,,,
17,credible,['bard'],0.0,exculpatory_rateless,1.0,A1NF1XZTCVRG1V,6.0,6.0,31.0,2021-02-19 21:23:48
18,credible,['bard'],0.0,exculpatory_rateless,0.0,A15KMHNB9VMHXK,5.0,2.0,22.0,2021-02-19 22:45:01
19,credible,['bard'],0.0,exculpatory_rateless,0.0,A2STMS163OI8TB,,,,
20,inculpatory,['bard'],1.0,exculpatory_rateless,0.0,A9QK84HBU3FX3,,,1.0,2021-02-20 00:23:18
21,inculpatory,['bard'],1.0,exculpatory_rateless,1.0,A1U8RH67FLZW87,6.0,6.0,31.0,2021-02-20 00:45:15
22,inculpatory,['bard'],1.0,exculpatory_rateless,0.0,A1AIYZPEGFYMQ4,1.0,0.0,5.0,2021-02-20 00:54:49
23,inculpatory,['bard'],0.0,exculpatory_rateless,1.0,A2CY1TSQ3KKP5Q,6.0,6.0,31.0,2021-02-20 04:12:42
24,inculpatory,['bard'],1.0,exculpatory_rateless,1.0,A13FTIHWW9GE8X,6.0,6.0,31.0,2021-02-20 04:16:52
25,credible,['bard'],1.0,exculpatory_rateless,0.0,A1WT9J6TTJDLKN,6.0,3.0,28.0,2021-02-20 13:39:11
26,inculpatory,['bard'],0.0,exculpatory_rateless,0.0,A2D12AABIAHV55,4.0,1.0,17.0,2021-02-20 16:43:40
27,random,['bard'],0.0,exculpatory_rateless,0.0,A2YOLW621EFX4V,4.0,1.0,17.0,2021-02-20 16:50:30
