,uid,scenario,physical,document,witness,character
0,sethtest,4,clear_in,clear_in,ambiguous,clear_ex
1,sethtest,13,clear_in,clear_ex,none,none
2,sethtest,27,clear_in,none,none,clear_in
3,sethtest,2,ambiguous,clear_in,clear_in,clear_in
4,sethtest,25,clear_ex,clear_in,clear_in,clear_ex
5,sethtest,30,clear_ex,clear_in,none,clear_in
6,sethtest,11,clear_in,ambiguous,none,clear_ex
7,sethtest,7,none,ambiguous,clear_in,clear_ex
8,sethtest,17,clear_in,ambiguous,ambiguous,clear_ex
9,sethtest,10,clear_in,ambiguous,none,none
10,sethtest,21,ambiguous,clear_in,clear_in,clear_ex
11,sethtest,15,clear_in,clear_in,clear_in,clear_ex
12,sethtest,24,ambiguous,none,clear_in,none
13,sethtest,9,none,clear_in,none,clear_ex
14,sethtest,26,clear_ex,ambiguous,clear_in,clear_in
15,sethtest,1,clear_in,clear_in,clear_ex,clear_in
16,sethtest,5,clear_in,none,clear_in,clear_in
17,sethtest,18,ambiguous,clear_ex,clear_in,clear_ex
18,sethtest,29,ambiguous,ambiguous,clear_in,clear_in
19,sethtest,8,ambiguous,clear_in,clear_in,none
20,sethtest,6,clear_in,none,clear_ex,none
21,sethtest,16,ambiguous,clear_in,none,clear_ex
22,sethtest,31,clear_ex,clear_in,none,none
23,sethtest,28,clear_ex,clear_in,clear_in,none
24,sethtest,22,none,clear_in,ambiguous,clear_ex
25,sethtest,12,clear_in,clear_ex,clear_in,none
26,sethtest,19,clear_ex,clear_in,clear_ex,clear_in
27,sethtest,23,clear_in,ambiguous,clear_ex,clear_ex
28,sethtest,3,clear_ex,ambiguous,clear_in,none
29,sethtest,14,none,clear_in,ambiguous,none
30,sethtest,20,clear_ex,none,clear_in,none
31,sethtest2,7,clear_in,ambiguous,none,none
32,sethtest2,9,ambiguous,clear_in,clear_ex,none
33,sethtest2,30,none,clear_in,clear_in,none
34,sethtest2,28,clear_ex,clear_in,ambiguous,none
35,sethtest2,19,clear_in,clear_in,clear_ex,clear_in
36,sethtest2,20,ambiguous,clear_in,ambiguous,clear_in
37,sethtest2,24,clear_in,clear_in,ambiguous,clear_ex
38,sethtest2,5,clear_in,clear_ex,clear_in,clear_ex
39,sethtest2,29,none,none,clear_in,none
40,sethtest2,6,clear_in,ambiguous,ambiguous,clear_ex
41,sethtest2,4,clear_in,ambiguous,none,clear_ex
42,sethtest2,3,none,none,clear_in,clear_in
43,sethtest2,13,clear_in,clear_in,ambiguous,none
44,sethtest2,12,ambiguous,none,clear_in,none
45,sethtest2,18,clear_in,none,none,none
46,sethtest2,2,ambiguous,clear_ex,clear_in,clear_in
47,sethtest2,26,clear_in,clear_in,none,clear_ex
48,sethtest2,23,ambiguous,clear_ex,clear_in,none
49,sethtest2,25,clear_in,clear_ex,ambiguous,clear_ex
50,sethtest2,10,clear_in,none,clear_ex,none
51,sethtest2,15,clear_ex,ambiguous,clear_in,clear_ex
52,sethtest2,21,clear_in,none,none,clear_in
53,sethtest2,8,none,clear_in,clear_ex,none
54,sethtest2,16,clear_in,ambiguous,clear_in,clear_ex
55,sethtest2,1,clear_in,clear_ex,clear_in,clear_in
56,sethtest2,11,clear_in,ambiguous,ambiguous,none
57,sethtest2,17,clear_ex,clear_in,clear_in,clear_ex
58,sethtest2,27,ambiguous,clear_in,none,clear_ex
59,sethtest2,31,ambiguous,clear_in,ambiguous,clear_ex
60,sethtest2,22,none,clear_in,none,clear_ex
61,sethtest2,14,clear_in,clear_ex,none,none
62,sdfghertesttest,18,clear_ex,clear_in,clear_in,clear_in
63,sdfghertesttest,7,clear_in,none,none,clear_in
64,sdfghertesttest,14,clear_in,clear_ex,clear_in,clear_ex
65,sdfghertesttest,10,none,none,clear_in,clear_in
66,sdfghertesttest,16,none,ambiguous,clear_in,clear_ex
67,sdfghertesttest,24,none,ambiguous,clear_in,none
68,sdfghertesttest,5,ambiguous,clear_in,clear_in,none
69,sdfghertesttest,29,clear_in,none,ambiguous,none
70,sdfghertesttest,22,clear_ex,ambiguous,clear_in,clear_in
71,sdfghertesttest,15,ambiguous,clear_in,ambiguous,clear_ex
72,sdfghertesttest,9,clear_in,ambiguous,none,clear_in
73,sdfghertesttest,21,clear_in,none,clear_ex,none
74,sdfghertesttest,27,clear_in,clear_ex,clear_in,none
75,sdfghertesttest,28,none,clear_ex,clear_in,clear_in
76,sdfghertesttest,23,clear_in,ambiguous,ambiguous,clear_in
77,sdfghertesttest,3,clear_in,clear_in,clear_in,clear_in
78,sdfghertesttest,8,clear_in,ambiguous,clear_ex,clear_ex
79,sdfghertesttest,6,clear_in,clear_in,clear_in,none
