,cond_evidence,cond_question,task,task_complete,uid,num_catch,num_correct,scenario,start
0,credible,['bard'],exculpatory_conditional,0.0,sethtest,1.0,0.0,2.0,2020-12-07 21:29:25
1,credible,['bard'],exculpatory_conditional,0.0,sethtest2,,,,
2,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,sdfghertesttest,,,,
3,inculpatory,['bard'],exculpatory_conditional,1.0,A2W3Q8OCO18HEN,6.0,6.0,31.0,2020-12-07 23:00:23
4,random,['bard'],exculpatory_conditional,0.0,A3CAHROA74QYIE,3.0,0.0,11.0,2020-12-07 23:07:12
5,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A1LLS4RSDRN8JS,3.0,0.0,11.0,2020-12-07 23:12:50
6,random,['bard'],exculpatory_conditional,0.0,A3QJKATIZJ9NV2,5.0,2.0,22.0,2020-12-07 23:18:01
7,credible,['bard'],exculpatory_conditional,1.0,A8UJNIY9R8S7W,6.0,6.0,31.0,2020-12-08 00:15:58
8,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A3VZ5K4RRT6NN8,6.0,6.0,31.0,2020-12-08 01:12:01
9,random,['bard'],exculpatory_conditional,0.0,A2XP1TT59KNAHG,4.0,1.0,17.0,2020-12-08 01:37:33
10,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A19IYNU02HE2Z2,3.0,1.0,11.0,2020-12-08 03:07:49
11,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A3XP7CO1MN1TK,,,,
12,random,['bard'],exculpatory_conditional,1.0,A26M997VYVK0E6,6.0,6.0,31.0,2020-12-08 03:38:27
13,inculpatory,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,AD5XOLO965T04,3.0,0.0,11.0,2020-12-08 03:51:25
14,inculpatory,['bard'],exculpatory_conditional,0.0,AD65XH6H5ES2Z,2.0,1.0,7.0,2020-12-08 03:55:40
15,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A3PJ4WKS6GY5LH,2.0,1.0,7.0,2020-12-08 05:37:34
16,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A3W03WEOEDEF0L,4.0,1.0,17.0,2020-12-08 05:43:08
17,inculpatory,['bard'],exculpatory_conditional,1.0,AY0ONNUWEGXH5,6.0,6.0,31.0,2020-12-08 05:54:41
18,inculpatory,['bard'],exculpatory_conditional,0.0,A345402V11J2GH,,,,
19,inculpatory,['bard'],exculpatory_conditional,0.0,A3EC13QK58RKRN,2.0,1.0,7.0,2020-12-08 06:33:05
20,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,1.0,A1T0S48O0CMXBC,6.0,6.0,31.0,2020-12-08 06:58:50
21,credible,['bard'],exculpatory_conditional,1.0,AT63SR7LJVM8P,6.0,4.0,31.0,2020-12-08 07:08:52
22,inculpatory,['bard'],exculpatory_conditional,0.0,sfadshdfnh,,,2.0,2020-12-08 07:10:59
23,credible,['bard'],exculpatory_conditional,0.0,A19JKKHEYCC2ER,3.0,0.0,11.0,2020-12-08 07:39:15
24,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A1V2PEI1IOY436,,,,
25,credible,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,AWP4L4S2UHJRN,,,,
26,random,"['bard', 'mltn', 'subj']",exculpatory_conditional,0.0,A2HNLXQPYBTD31,1.0,1.0,4.0,2020-12-09 15:30:22
